ORI
STATE
INCNUM
INCDATE
BH008
BH007 
BH010
BH011
BH013
BH016
BH019
BH020
BH021
BH022
BH041
BH054
BH055
BH056
BH057
BH058
V1007
V1008
V1009
V1010
V1011
V20061
V20062
V20063
V30121
V30122
V30123
V30131
V30132
V30133
V30141
V30142
V30143
V30151
V20081
V20082
V20083
V20111
V20112
V20113
V20171
V20172
V20173
V30061
V30062
V30063
V30071
V30072
V30073
V30081
V30082
V30083
V5006
V5008
V5008
V5009
V5011
V6006
V6009
V6009
V6014
V6015
V6016
V6017
V60081
ALLOFNS
