,BH008,BH041,V30121,INCNUM
222,LA,2015,-7,46
223,LA,2015,-6,27114
224,LA,2015,1,264
225,LA,2015,2,223
226,LA,2015,3,3
227,LA,2015,4,91
228,LA,2015,5,3482
229,LA,2015,6,10
230,LA,2015,7,20
231,LA,2015,8,252
232,LA,2015,9,2
233,LA,2015,10,17
234,LA,2015,11,26
235,LA,2015,12,548
236,LA,2015,13,29
237,LA,2015,14,13
238,LA,2015,15,77
239,LA,2015,16,307
240,MA,2015,-8,32386
241,MA,2015,-7,63
242,MA,2015,-6,76258
243,MA,2015,1,888
244,MA,2015,2,1257
245,MA,2015,3,46
246,MA,2015,4,2593
247,MA,2015,5,1811
248,MA,2015,6,28
249,MA,2015,7,82
250,MA,2015,8,1185
251,MA,2015,9,5
252,MA,2015,10,19
253,MA,2015,11,18
254,MA,2015,12,108
255,MA,2015,13,51
256,MA,2015,14,33
257,MA,2015,15,113
258,MA,2015,16,583
259,ME,2015,-8,2552
260,ME,2015,-7,6
261,ME,2015,-6,5554
262,ME,2015,1,40
263,ME,2015,2,36
264,ME,2015,3,19
265,ME,2015,4,149
266,ME,2015,5,730
267,ME,2015,6,4
268,ME,2015,7,11
269,ME,2015,8,123
270,ME,2015,9,1
271,ME,2015,11,3
272,ME,2015,12,14
273,ME,2015,13,13
274,ME,2015,14,4
275,ME,2015,15,11
276,ME,2015,16,98
277,MI,2015,-8,116186
278,MI,2015,-7,3831
279,MI,2015,-6,221668
280,MI,2015,1,2585
281,MI,2015,2,1660
282,MI,2015,3,117
283,MI,2015,4,3673
284,MI,2015,5,28395
285,MI,2015,6,149
286,MI,2015,7,113
287,MI,2015,8,1675
288,MI,2015,9,89
289,MI,2015,10,54
290,MI,2015,11,111
291,MI,2015,12,1529
292,MI,2015,13,156
293,MI,2015,14,122
294,MI,2015,15,164
295,MI,2015,16,1461
296,MI,2015,93,1
297,MO,2015,-8,13419
298,MO,2015,-7,135
299,MO,2015,-6,43397
300,MO,2015,1,153
301,MO,2015,2,125
302,MO,2015,3,2
303,MO,2015,4,138
304,MO,2015,5,2447
305,MO,2015,6,5
306,MO,2015,7,1
307,MO,2015,8,156
308,MO,2015,9,3
309,MO,2015,10,108
310,MO,2015,11,13
311,MO,2015,12,834
312,MO,2015,13,16
313,MO,2015,14,7
314,MO,2015,15,30
315,MO,2015,16,152
316,MS,2015,-8,3719
317,MS,2015,-7,21
318,MS,2015,-6,10563
319,MS,2015,1,116
320,MS,2015,2,86
321,MS,2015,4,10
322,MS,2015,5,1249
323,MS,2015,6,9
324,MS,2015,7,2
325,MS,2015,8,253
326,MS,2015,9,1
327,MS,2015,11,13
328,MS,2015,12,210
329,MS,2015,13,6
330,MS,2015,14,7
331,MS,2015,15,33
332,MS,2015,16,249
333,MT,2015,-8,8382
334,MT,2015,-7,199
335,MT,2015,-6,33565
336,MT,2015,1,2
337,MT,2015,2,16
338,MT,2015,3,30
339,MT,2015,4,70
340,MT,2015,5,1936
341,MT,2015,6,22
342,MT,2015,7,11
343,MT,2015,8,214
344,MT,2015,9,5
345,MT,2015,10,1
346,MT,2015,11,15
347,MT,2015,12,905
348,MT,2015,13,96
349,MT,2015,14,3
350,MT,2015,15,33
351,MT,2015,16,218
352,MT,2015,93,1
353,NB,2015,-8,6111
354,NB,2015,-7,69
355,NB,2015,-6,18938
356,NB,2015,1,7
357,NB,2015,2,48
358,NB,2015,3,39
359,NB,2015,4,6
360,NB,2015,5,2528
361,NB,2015,6,4
362,NB,2015,7,3
363,NB,2015,8,86
364,NB,2015,9,4
365,NB,2015,11,16
366,NB,2015,12,836
367,NB,2015,13,9
368,NB,2015,14,2
369,NB,2015,15,14
370,NB,2015,16,147
371,NB,2015,93,1
372,ND,2015,-8,7815
373,ND,2015,-7,155
374,ND,2015,-6,26164
375,ND,2015,1,12
376,ND,2015,2,82
377,ND,2015,3,39
378,ND,2015,4,141
379,ND,2015,5,3114
380,ND,2015,6,20
381,ND,2015,7,24
382,ND,2015,8,227
383,ND,2015,9,9
384,ND,2015,10,1
385,ND,2015,11,27
386,ND,2015,12,1172
387,ND,2015,13,35
388,ND,2015,14,6
389,ND,2015,15,40
390,ND,2015,16,144
391,ND,2015,93,6
392,NH,2015,-8,8603
393,NH,2015,-7,214
394,NH,2015,-6,19628
395,NH,2015,1,193
396,NH,2015,2,197
397,NH,2015,3,44
398,NH,2015,4,1480
399,NH,2015,5,3310
400,NH,2015,6,11
